Food_ID,Food_Name,Food_Category,Cuisine,Vegetarian,Serving_Size,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Meal_Type,Preparation_Type,User_Preference
1001,Rolled Oats (cooked),Grains and Cereals,Global,1,1 cup (234g),169,5.9,28.3,3.6,4.0,1.1,Breakfast,Boiled,Weight Loss
1002,Rolled Oats (cooked) (Light Spiced),Grains and Cereals,Global,1,1 cup (234g),165,5.7,27.3,3.7,4.0,1.1,Breakfast,Boiled,Weight Loss
1003,Rolled Oats (cooked) (Homestyle),Grains and Cereals,Global,1,1 cup (234g),162,5.9,27.2,3.3,4.1,1.0,Breakfast,Boiled,Weight Loss
1004,Rolled Oats (cooked) (Low Sodium),Grains and Cereals,Global,1,1 cup (234g),164,5.8,27.4,3.5,3.9,1.1,Breakfast,Boiled,Weight Loss
1005,Rolled Oats (cooked) (Extra Portion),Grains and Cereals,Global,1,1 cup (234g),214,7.5,35.6,4.6,5.1,1.4,Breakfast,Boiled,Weight Loss
1006,Rolled Oats (cooked) (Half Portion),Grains and Cereals,Global,1,1 cup (234g),94,3.3,15.6,2.0,2.2,0.6,Breakfast,Boiled,Weight Loss
1007,Rolled Oats (cooked) (With Olive Oil),Grains and Cereals,Global,1,1 cup (234g),185,6.2,28.8,5.0,4.3,1.1,Breakfast,Boiled,Weight Loss
1008,Rolled Oats (cooked) (Steamed),Grains and Cereals,Global,1,1 cup (234g),155,6.0,26.0,3.0,4.3,1.0,Breakfast,Boiled,Weight Loss
1009,Rolled Oats (cooked) (Nutrient Dense),Grains and Cereals,Global,1,1 cup (234g),180,6.9,29.4,3.9,4.8,1.1,Breakfast,Boiled,Weight Loss
1010,Rolled Oats (cooked) (Mild Flavor),Grains and Cereals,Global,1,1 cup (234g),162,5.7,27.3,3.3,3.9,1.0,Breakfast,Boiled,Weight Loss
1011,Rolled Oats (cooked) (Herb Infused),Grains and Cereals,Global,1,1 cup (234g),168,6.0,27.9,3.6,4.2,1.1,Breakfast,Boiled,Weight Loss
1012,Rolled Oats (cooked) (Traditional),Grains and Cereals,Global,1,1 cup (234g),171,5.8,28.7,3.7,3.9,1.1,Breakfast,Boiled,Weight Loss
1013,Steel Cut Oats,Grains and Cereals,Global,1,1 cup (240g),166,6.8,28.2,2.9,4.9,1.0,Breakfast,Boiled,Weight Loss
1014,Steel Cut Oats (Light Spiced),Grains and Cereals,Global,1,1 cup (240g),170,6.9,28.5,3.1,5.0,1.0,Breakfast,Boiled,Weight Loss
1015,Steel Cut Oats (Homestyle),Grains and Cereals,Global,1,1 cup (240g),169,7.2,28.7,2.8,5.3,1.0,Breakfast,Boiled,Weight Loss
1016,Steel Cut Oats (Low Sodium),Grains and Cereals,Global,1,1 cup (240g),169,7.0,28.8,2.9,5.0,1.0,Breakfast,Boiled,Weight Loss
1017,Steel Cut Oats (Extra Portion),Grains and Cereals,Global,1,1 cup (240g),210,8.6,35.6,3.7,6.1,1.2,Breakfast,Boiled,Weight Loss
1018,Steel Cut Oats (Half Portion),Grains and Cereals,Global,1,1 cup (240g),95,3.9,16.0,1.7,2.8,0.6,Breakfast,Boiled,Weight Loss
1019,Steel Cut Oats (With Olive Oil),Grains and Cereals,Global,1,1 cup (240g),184,7.3,29.5,4.1,5.3,1.0,Breakfast,Boiled,Weight Loss
1020,Steel Cut Oats (Steamed),Grains and Cereals,Global,1,1 cup (240g),158,7.1,26.7,2.5,5.3,0.9,Breakfast,Boiled,Weight Loss
1021,Steel Cut Oats (Nutrient Dense),Grains and Cereals,Global,1,1 cup (240g),187,8.4,31.0,3.3,6.1,1.0,Breakfast,Boiled,Weight Loss
1022,Steel Cut Oats (Mild Flavor),Grains and Cereals,Global,1,1 cup (240g),171,7.0,29.3,2.9,5.1,1.0,Breakfast,Boiled,Weight Loss
1023,Steel Cut Oats (Herb Infused),Grains and Cereals,Global,1,1 cup (240g),171,7.1,29.0,3.0,5.3,1.0,Breakfast,Boiled,Weight Loss
1024,Steel Cut Oats (Traditional),Grains and Cereals,Global,1,1 cup (240g),171,6.7,29.0,3.1,4.7,1.0,Breakfast,Boiled,Weight Loss
1025,Brown Rice (cooked),Grains and Cereals,Indian,1,1 cup (195g),221,4.6,47.1,1.6,3.6,0.7,Lunch,Boiled,Balanced
1026,Brown Rice (cooked) (Light Spiced),Grains and Cereals,Indian,1,1 cup (195g),215,4.5,45.4,1.7,3.5,0.7,Lunch,Boiled,Balanced
1027,Brown Rice (cooked) (Homestyle),Grains and Cereals,Indian,1,1 cup (195g),206,4.5,43.8,1.4,3.6,0.6,Lunch,Boiled,Balanced
1028,Brown Rice (cooked) (Low Sodium),Grains and Cereals,Indian,1,1 cup (195g),208,4.4,44.2,1.5,3.4,0.7,Lunch,Boiled,Balanced
1029,Brown Rice (cooked) (Extra Portion),Grains and Cereals,Indian,1,1 cup (195g),274,5.7,58.4,2.0,4.5,0.9,Lunch,Boiled,Balanced
1030,Brown Rice (cooked) (Half Portion),Grains and Cereals,Indian,1,1 cup (195g),119,2.5,25.3,0.9,1.9,0.4,Lunch,Boiled,Balanced
1031,Brown Rice (cooked) (With Olive Oil),Grains and Cereals,Indian,1,1 cup (195g),225,4.7,46.6,2.2,3.7,0.7,Lunch,Boiled,Balanced
1032,Brown Rice (cooked) (Steamed),Grains and Cereals,Indian,1,1 cup (195g),208,4.8,44.1,1.4,3.9,0.7,Lunch,Boiled,Balanced
1033,Brown Rice (cooked) (Nutrient Dense),Grains and Cereals,Indian,1,1 cup (195g),229,5.3,48.2,1.7,4.2,0.7,Lunch,Boiled,Balanced
1034,Brown Rice (cooked) (Mild Flavor),Grains and Cereals,Indian,1,1 cup (195g),221,4.6,47.1,1.6,3.6,0.7,Lunch,Boiled,Balanced
1035,Brown Rice (cooked) (Herb Infused),Grains and Cereals,Indian,1,1 cup (195g),216,4.6,45.9,1.6,3.8,0.7,Lunch,Boiled,Balanced
1036,Brown Rice (cooked) (Traditional),Grains and Cereals,Indian,1,1 cup (195g),220,4.4,46.9,1.7,3.4,0.7,Lunch,Boiled,Balanced
1037,White Basmati Rice (cooked),Grains and Cereals,Indian,1,1 cup (180g),207,4.4,45.9,0.6,1.0,0.2,Lunch,Boiled,Energy Booster
1038,White Basmati Rice (cooked) (Light Spiced),Grains and Cereals,Indian,1,1 cup (180g),204,4.3,45.3,0.6,1.0,0.2,Lunch,Boiled,Energy Booster
1039,White Basmati Rice (cooked) (Homestyle),Grains and Cereals,Indian,1,1 cup (180g),204,4.5,45.1,0.6,1.1,0.2,Lunch,Boiled,Energy Booster
1040,White Basmati Rice (cooked) (Low Sodium),Grains and Cereals,Indian,1,1 cup (180g),202,4.3,44.8,0.6,1.0,0.2,Lunch,Boiled,Energy Booster
1041,White Basmati Rice (cooked) (Extra Portion),Grains and Cereals,Indian,1,1 cup (180g),256,5.4,56.9,0.8,1.3,0.3,Lunch,Boiled,Energy Booster
1042,White Basmati Rice (cooked) (Half Portion),Grains and Cereals,Indian,1,1 cup (180g),108,2.3,24.1,0.3,0.5,0.1,Lunch,Boiled,Energy Booster
1043,White Basmati Rice (cooked) (With Olive Oil),Grains and Cereals,Indian,1,1 cup (180g),202,4.3,44.3,0.8,1.0,0.2,Lunch,Boiled,Energy Booster
1044,White Basmati Rice (cooked) (Steamed),Grains and Cereals,Indian,1,1 cup (180g),191,4.5,42.2,0.5,1.1,0.2,Lunch,Boiled,Energy Booster
1045,White Basmati Rice (cooked) (Nutrient Dense),Grains and Cereals,Indian,1,1 cup (180g),209,4.9,46.1,0.6,1.2,0.2,Lunch,Boiled,Energy Booster
1046,White Basmati Rice (cooked) (Mild Flavor),Grains and Cereals,Indian,1,1 cup (180g),199,4.2,44.3,0.6,1.0,0.2,Lunch,Boiled,Energy Booster
1047,White Basmati Rice (cooked) (Herb Infused),Grains and Cereals,Indian,1,1 cup (180g),200,4.3,44.4,0.6,1.1,0.2,Lunch,Boiled,Energy Booster
1048,White Basmati Rice (cooked) (Traditional),Grains and Cereals,Indian,1,1 cup (180g),203,4.2,45.3,0.6,1.0,0.2,Lunch,Boiled,Energy Booster
1049,Whole Wheat Roti,Grains and Cereals,Indian,1,1 piece (45g),123,3.8,22.2,2.1,3.2,0.5,Dinner,Cooked,Balanced
1050,Whole Wheat Roti (Light Spiced),Grains and Cereals,Indian,1,1 piece (45g),122,3.8,21.8,2.2,3.2,0.5,Dinner,Cooked,Balanced
1051,Whole Wheat Roti (Homestyle),Grains and Cereals,Indian,1,1 piece (45g),118,3.8,21.4,1.9,3.3,0.5,Dinner,Cooked,Balanced
1052,Whole Wheat Roti (Low Sodium),Grains and Cereals,Indian,1,1 piece (45g),118,3.7,21.4,2.0,3.1,0.5,Dinner,Cooked,Balanced
1053,Whole Wheat Roti (Extra Portion),Grains and Cereals,Indian,1,1 piece (45g),151,4.7,27.1,2.6,3.9,0.6,Dinner,Cooked,Balanced
1054,Whole Wheat Roti (Half Portion),Grains and Cereals,Indian,1,1 piece (45g),69,2.1,12.4,1.2,1.8,0.3,Dinner,Cooked,Balanced
1055,Whole Wheat Roti (With Olive Oil),Grains and Cereals,Indian,1,1 piece (45g),130,3.9,22.2,2.9,3.4,0.5,Dinner,Cooked,Balanced
1056,Whole Wheat Roti (Steamed),Grains and Cereals,Indian,1,1 piece (45g),116,4.0,21.0,1.8,3.5,0.5,Dinner,Cooked,Balanced
1057,Whole Wheat Roti (Nutrient Dense),Grains and Cereals,Indian,1,1 piece (45g),128,4.4,22.6,2.2,3.8,0.5,Dinner,Cooked,Balanced
1058,Whole Wheat Roti (Mild Flavor),Grains and Cereals,Indian,1,1 piece (45g),122,3.8,22.3,2.0,3.2,0.5,Dinner,Cooked,Balanced
