Age,BMI,Daily_Calories,Protein,Carbohydrates,Fat,Fiber,Nutrition_Category
56,19.5,2281.0,73.1,240.2,73.3,15.8,Balanced
46,42.4,1707.0,69.6,303.1,57.2,34.6,Balanced
32,25.2,2462.0,82.0,273.6,68.9,26.0,Balanced
60,30.9,2055.0,74.5,217.2,34.1,31.6,Balanced
25,14.6,2191.0,78.1,275.9,53.4,19.0,Balanced
38,39.7,2854.0,93.9,321.6,52.5,13.4,High Calorie Intake
56,31.8,1724.0,24.2,148.7,43.2,24.3,Low Nutrition Intake
36,20.8,1797.0,58.4,273.5,81.9,21.3,Balanced
40,24.3,1728.0,84.1,284.6,89.9,28.9,Balanced
28,26.8,3232.0,67.8,502.1,97.0,12.9,High Calorie Intake
28,16.5,2620.0,57.4,186.1,66.7,25.0,Balanced
41,31.1,2091.0,91.9,223.7,65.9,22.8,Balanced
53,22.9,1236.0,44.3,219.8,65.4,16.3,Low Nutrition Intake
57,21.9,1497.0,77.5,262.0,78.1,26.1,Balanced
41,29.4,1751.0,49.7,244.6,34.7,14.6,Low Nutrition Intake
20,38.4,2365.0,70.0,228.4,56.2,20.5,Balanced
39,34.3,1575.0,23.0,135.5,62.4,11.1,Low Nutrition Intake
19,31.7,2202.0,57.2,263.8,54.9,15.6,Balanced
41,24.4,1771.0,59.2,186.2,52.0,21.6,Low Nutrition Intake
61,28.2,2346.0,84.7,268.0,74.1,22.8,Balanced
47,33.4,2856.0,79.2,356.3,97.7,16.0,High Calorie Intake
55,14.9,1726.0,31.4,216.6,49.5,17.1,Low Nutrition Intake
19,26.8,1940.0,54.3,282.4,67.6,31.0,Balanced
38,31.9,1968.0,88.6,302.2,63.7,27.5,Balanced
50,25.8,1542.0,35.1,208.6,59.5,14.1,Low Nutrition Intake
29,17.5,2453.0,61.0,291.0,130.8,19.8,High Calorie Intake
39,31.0,1330.0,28.0,160.8,32.3,14.4,Low Nutrition Intake
61,23.4,2170.0,96.8,232.3,43.9,18.1,Balanced
42,24.5,2144.0,67.8,248.3,58.6,30.9,Balanced
44,16.1,1997.0,72.7,288.7,57.1,27.5,Balanced
